"","Tipo","Component","Action","Contador"
"1","E","assignsubmission_file","created","0"
"2","E","assignsubmission_file","updated","0"
"3","E","assignsubmission_file","uploaded","0"
"4","I","gradereport_user","viewed","0"
"5","E","mod_assign","graded","0"
"6","E","mod_assign","submitted","0"
"7","I","mod_assign","viewed","0"
"8","E","mod_forum","created","0"
"9","E","mod_forum","deleted","0"
"10","E","mod_forum","restored","0"
"11","E","mod_forum","updated","0"
"12","E","mod_forum","uploaded","0"
"13","I","mod_forum","viewed","0"
"14","E","mod_glossary","created","0"
"15","E","mod_glossary","updated","0"
"16","A","mod_glossary","viewed","0"
"17","I","mod_page","viewed","0"
"18","E","mod_quiz","started","0"
"19","E","mod_quiz","submitted","0"
"20","A","mod_quiz","reviewed","0"
"21","A","mod_quiz","viewed","0"
"22","A","mod_resource","viewed","0"
"23","I","mod_url","viewed","0"
"24","E","mod_wiki","created","0"
"25","E","mod_wiki","deleted","0"
"26","E","mod_wiki","restored","0"
"27","E","mod_wiki","updated","0"
"28","A","mod_wiki","viewed","0"
